"COU","Country","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","MUNICIPAL","Municipal waste generated","1992","1992","TONNE","Tonnes","3","Thousands",,,12000,"E","Estimated value"
"AUS","Australia","MUNICIPAL","Municipal waste generated","2000","2000","TONNE","Tonnes","3","Thousands",,,13200,"E","Estimated value"
"AUS","Australia","MUNICIPAL","Municipal waste generated","2007","2007","TONNE","Tonnes","3","Thousands",,,12798.666,,
"AUS","Australia","MUNICIPAL","Municipal waste generated","2008","2008","TONNE","Tonnes","3","Thousands",,,13027.542,,
"AUS","Australia","MUNICIPAL","Municipal waste generated","2009","2009","TONNE","Tonnes","3","Thousands",,,13256.419,,
"AUS","Australia","MUNICIPAL","Municipal waste generated","2010","2010","TONNE","Tonnes","3","Thousands",,,13515.592,,
"AUS","Australia","MUNICIPAL","Municipal waste generated","2011","2011","TONNE","Tonnes","3","Thousands",,,13462.519,,
"AUS","Australia","MUNICIPAL","Municipal waste generated","2012","2012","TONNE","Tonnes","3","Thousands",,,13344.891,,
"AUS","Australia","MUNICIPAL","Municipal waste generated","2013","2013","TONNE","Tonnes","3","Thousands",,,13227.263,,
"AUS","Australia","MUNICIPAL","Municipal waste generated","2014","2014","TONNE","Tonnes","3","Thousands",,,13109.635,,
"AUS","Australia","MUNICIPAL","Municipal waste generated","2015","2015","TONNE","Tonnes","3","Thousands",,,13344.539,,
"AUS","Australia","HOUSEHOLD","Waste from households","1992","1992","TONNE","Tonnes","3","Thousands",,,7000,"E","Estimated value"
"AUS","Australia","HOUSEHOLD","Waste from households","2000","2000","TONNE","Tonnes","3","Thousands",,,7660,"E","Estimated value"
"AUS","Australia","HOUSEHOLD","Waste from households","2003","2003","TONNE","Tonnes","3","Thousands",,,8903,,
"AUS","Australia","HOUSEHOLD","Waste from households","2015","2015","TONNE","Tonnes","3","Thousands",,,12010,"E","Estimated value"
"AUS","Australia","TREATMENT","Municipal waste treated","2003","2003","TONNE","Tonnes","3","Thousands",,,8903,,
"AUS","Australia","TREATMENT","Municipal waste treated","2007","2007","TONNE","Tonnes","3","Thousands",,,12798.666,,
"AUS","Australia","TREATMENT","Municipal waste treated","2008","2008","TONNE","Tonnes","3","Thousands",,,13027.542,,
"AUS","Australia","TREATMENT","Municipal waste treated","2009","2009","TONNE","Tonnes","3","Thousands",,,13256.419,,
"AUS","Australia","TREATMENT","Municipal waste treated","2010","2010","TONNE","Tonnes","3","Thousands",,,13515.592,,
"AUS","Australia","TREATMENT","Municipal waste treated","2011","2011","TONNE","Tonnes","3","Thousands",,,13462.519,,
"AUS","Australia","TREATMENT","Municipal waste treated","2012","2012","TONNE","Tonnes","3","Thousands",,,13344.891,,
"AUS","Australia","TREATMENT","Municipal waste treated","2013","2013","TONNE","Tonnes","3","Thousands",,,13227.263,,
"AUS","Australia","TREATMENT","Municipal waste treated","2014","2014","TONNE","Tonnes","3","Thousands",,,13109.635,,
"AUS","Australia","TREATMENT","Municipal waste treated","2015","2015","TONNE","Tonnes","3","Thousands",,,13344.539,,
"AUS","Australia","RECOVERY","Amount designated for recovery operations","2003","2003","TONNE","Tonnes","3","Thousands",,,2701,,
"AUS","Australia","RECOVERY","Amount designated for recovery operations","2007","2007","TONNE","Tonnes","3","Thousands",,,5592.26,,
"AUS","Australia","RECOVERY","Amount designated for recovery operations","2008","2008","TONNE","Tonnes","3","Thousands",,,5864.23,,
"AUS","Australia","RECOVERY","Amount designated for recovery operations","2009","2009","TONNE","Tonnes","3","Thousands",,,6136.21,,
"AUS","Australia","RECOVERY","Amount designated for recovery operations","2010","2010","TONNE","Tonnes","3","Thousands",,,6476.28,,
"AUS","Australia","RECOVERY","Amount designated for recovery operations","2011","2011","TONNE","Tonnes","3","Thousands",,,6915.76,,
"AUS","Australia","RECOVERY","Amount designated for recovery operations","2012","2012","TONNE","Tonnes","3","Thousands",,,6979.7,,
"AUS","Australia","RECOVERY","Amount designated for recovery operations","2013","2013","TONNE","Tonnes","3","Thousands",,,7043.63,,
"AUS","Australia","RECOVERY","Amount designated for recovery operations","2014","2014","TONNE","Tonnes","3","Thousands",,,7107.56,,
"AUS","Australia","RECOVERY","Amount designated for recovery operations","2015","2015","TONNE","Tonnes","3","Thousands",,,6858.41,,
"AUS","Australia","RECYCLING","Recycling","2003","2003","TONNE","Tonnes","3","Thousands",,,2701,,
"AUS","Australia","RECYCLING","Recycling","2007","2007","TONNE","Tonnes","3","Thousands",,,4710.243,,
"AUS","Australia","RECYCLING","Recycling","2008","2008","TONNE","Tonnes","3","Thousands",,,4971.787,,
"AUS","Australia","RECYCLING","Recycling","2009","2009","TONNE","Tonnes","3","Thousands",,,5233.332,,
"AUS","Australia","RECYCLING","Recycling","2010","2010","TONNE","Tonnes","3","Thousands",,,5404.171,,
"AUS","Australia","RECYCLING","Recycling","2011","2011","TONNE","Tonnes","3","Thousands",,,5689.411,,
"AUS","Australia","RECYCLING","Recycling","2012","2012","TONNE","Tonnes","3","Thousands",,,5636.739,,
"AUS","Australia","RECYCLING","Recycling","2013","2013","TONNE","Tonnes","3","Thousands",,,5584.067,,
"AUS","Australia","RECYCLING","Recycling","2014","2014","TONNE","Tonnes","3","Thousands",,,5531.395,,
"AUS","Australia","RECYCLING","Recycling","2015","2015","TONNE","Tonnes","3","Thousands",,,5605.196,,
"AUS","Australia","INCINERATION_WITH","Incineration with energy recovery","2007","2007","TONNE","Tonnes","3","Thousands",,,882.016,,
"AUS","Australia","INCINERATION_WITH","Incineration with energy recovery","2008","2008","TONNE","Tonnes","3","Thousands",,,892.447,,
"AUS","Australia","INCINERATION_WITH","Incineration with energy recovery","2009","2009","TONNE","Tonnes","3","Thousands",,,902.879,,
"AUS","Australia","INCINERATION_WITH","Incineration with energy recovery","2010","2010","TONNE","Tonnes","3","Thousands",,,1072.105,,
"AUS","Australia","INCINERATION_WITH","Incineration with energy recovery","2011","2011","TONNE","Tonnes","3","Thousands",,,1226.353,,
"AUS","Australia","INCINERATION_WITH","Incineration with energy recovery","2012","2012","TONNE","Tonnes","3","Thousands",,,1342.957,,
"AUS","Australia","INCINERATION_WITH","Incineration with energy recovery","2013","2013","TONNE","Tonnes","3","Thousands",,,1459.561,,
"AUS","Australia","INCINERATION_WITH","Incineration with energy recovery","2014","2014","TONNE","Tonnes","3","Thousands",,,1576.165,,
"AUS","Australia","INCINERATION_WITH","Incineration with energy recovery","2015","2015","TONNE","Tonnes","3","Thousands",,,1253.214,,
